title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
Avni Yoga Studio,"Kishanpura, Zirakpur",+91 93991 37373,https://www.avniyagastudio.com/,17,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Yoga Classes in Chandigarh Personal Trainer,Chandigarh,+91 79883 54495,https://yogaclassesinchandigarh.com/,13,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Champion Gym (Dhakoli),Zirakpur,+91 76529 37990,http://championgym.com/,10,5,200,,13777,False,False,False,False,False,False,False,False,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Secret Gym Society,Chandigarh,+91 62394 22232,https://secretgymsociety.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAb21jcAPIGThleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAaciHFr5emF2OPlXkGtyn7T1MVRoKmM31U7A6AEILWziYW-PKM00t1lLS4KWSQ_aem_AJNBC3_mDHJEkCIIw16pnA,9,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Photon physio clinic,Chandigarh,+91 98177 97741,http://photonphysio.com/,3,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Yoga Flows,Sahibzada Ajit Singh Nagar,,https://www.yogaflows.online/,3,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Royal fitness club | Best gym in chandigarh,Chandigarh,,https://vishal.beingmaker.com/,1,5,0,timeout,,,,,,,,,,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Jasmine Kaur - Founder of Healthy Ageing Hub,Chandigarh,,https://connecteacbef.clickfunnels.com/me,1,5,200,,5602,False,False,False,False,False,False,False,False,6,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
Health Lounges,Panchkula,+91 85580 07103,https://healthlounges.com/,95,4.9,200,,76230,False,False,False,False,False,False,True,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_95(+0.5)
Body Works Gym & Spa,Sahibzada Ajit Singh Nagar,+91 6284 138 209,https://sites.google.com/view/body-works-gym-spa/home,94,4.8,200,,134841,False,False,False,False,False,False,False,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_94(+0.5)
S.R. Life Fitness,Zirakpur,+91 90411 26926,http://srlifefitness.in/,93,5,200,,63357,False,False,False,False,False,False,False,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_93(+0.5)
DANCE WITH ARYAN STUDIO,Panchkula,+91 81462 04527,https://sites.google.com/view/dancewitharyan/home,90,5,200,,115707,False,False,False,False,False,False,False,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_90(+0.5)
Yoga Plus,Zirakpur,+91 98728 95727,https://sites.google.com/view/yoga-plus-studio/home,86,4.9,200,,149994,False,False,False,False,False,False,False,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_86(+0.5)
"Aarogya Yoga | Meditation, Yoga, and Wellness Studio",Chandigarh,+91 94784 23792,https://www.aarogyayoga.com/,58,5,200,,149982,False,False,False,False,False,False,True,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_58(+0.5)
Sharp Fitness,Zirakpur,+91 82840 22068,https://www.sharpfitness.co.in/,50,4.7,200,,149998,False,False,False,False,False,False,False,True,5.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_50(+0.5)
BodyZone Fitness & Spa,Chandigarh,+91 172 507 7770,https://www.bodyzonegym.in/,756,4.6,200,,149988,False,True,True,True,False,False,True,True,5,partial_tracking(+1) | no_form(+1) | no_local_schema(+1) | high_demand_756(+2)
Fitwiser - Simplifying Weight Loss,Sahibzada Ajit Singh Nagar,+91 98150 80032,https://fitwiser.in/simplifying-weight-loss/,570,4.8,200,,149764,False,True,True,True,False,False,True,True,5,partial_tracking(+1) | no_form(+1) | no_local_schema(+1) | high_demand_570(+2)
TNT Gym & Spa,"Zirakpur, Sanauli",+91 97798 80666,https://tntgyms.com/,555,4.7,200,,149800,False,True,True,True,False,False,True,True,5,partial_tracking(+1) | no_form(+1) | no_local_schema(+1) | high_demand_555(+2)
TNT Gym Baltana,Zirakpur,+91 98152 55575,https://www.tntgyms.com/,513,4.7,200,,149800,False,True,True,True,False,False,True,True,5,partial_tracking(+1) | no_form(+1) | no_local_schema(+1) | high_demand_513(+2)
Bodylife Premium Gym & Spa,"Sahibzada Ajit Singh Nagar, Zirakpur",+91 62834 40374,https://bodylife-premium-gyms.grexa.site/,443,4.9,200,,149994,False,True,True,False,False,False,True,True,5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_443(+1)
"Pro Ultimate Gyms - Sector 7-C, Chandigarh",Chandigarh,+91 86869 00043,https://www.proultimategyms.in/,422,4.9,200,,149997,False,True,True,False,False,False,False,True,5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_422(+1)
Pro Ultimate Gyms - Wave Estate Mohali,Sahibzada Ajit Singh Nagar,+91 6284 849 266,https://www.proultimategyms.in/,391,4.9,200,,149997,False,True,True,False,False,False,False,True,5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_391(+1)
The Soul Train Gym & Spa,Panchkula,+91 97799 72899,https://www.soultraingym.com/,373,4.6,200,,52241,False,False,False,False,False,True,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_local_schema(+1) | proven_373(+1)
Team wind chasers skating academy (Sec 44),Chandigarh,+91 88723 00065,https://twcsportsclub.com/,286,4.9,200,,150000,False,False,True,False,False,False,True,True,5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_286(+1)
Legacee Gyms & Spa,Chandigarh,+91 97800 34111,https://legacee-gyms-spa-gym.grexa.site/,275,4.7,200,,149994,False,True,True,False,False,False,True,True,5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | proven_275(+1)
Ultimate Physique Fitness Gym,Sahibzada Ajit Singh Nagar,+91 98789 89322,https://upfgym.com/,217,4.8,200,,149642,False,False,False,False,False,True,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_local_schema(+1) | proven_217(+1)
