title,category,city,postal,state,address,phone,website,rating,reviews,claimed,categories,placeId,lat,lng,imagesCount,_reason
Fit life gym,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"Sco 64 65 66, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 78892 59426,,4.3,27,False,['Gym'],ChIJEyNpAuTtDzkRLYbkjuBtVJw,30.680792,76.7449061,25,primary_cat
Fitness Weight Loss - CrossFit - MMA Training - Personal Fitness Trainer Chandigarh,Fitness center,Sahibzada Ajit Singh Nagar,160062,Punjab,"Sec 67 markit, near icic bank, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 92000 20100,,4.9,58,False,"['Fitness center', 'Boxing gym', 'Jujitsu school', 'Personal trainer', 'Weight loss service']",ChIJjeewxtDvDzkR2Df0FbwWKKw,30.6802213,76.7275508,167,primary_cat
Tank’s Gym HLP Gallerria,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"3rd floor, HLP Galleria, Himalaya Marg, Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 70093 14713,,4.6,141,False,['Gym'],ChIJRbmcpg_vDzkRcqEwbYP5RTA,30.6991784,76.7266368,37,primary_cat
SHRED HOUSE,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"Sco 32,33, above Axis bank, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 98888 98123,https://www.instagram.com/shredhouse_67?igsh=MW1zNnR1eHExOTdrNg==,4.9,82,False,['Gym'],ChIJVWklWxbvDzkR0oqXee1RpTg,30.6797694,76.7249777,22,primary_cat
Absolute Fitness,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"First Floor, SCF 56 - 57, Mohali Stadium Rd, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 82830 02222,https://www.facebook.com/absolutefitness11,4.4,554,False,['Gym'],ChIJGYNJYAXsDzkRLF71Bcxnw-o,30.6809317,76.7447966,244,primary_cat
Powerhouse Gym Mohali,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"TF Central, Powerhouse Gym, SCO 10 - 17 SF & 10 - 11, Street Airport Road, near Cp67 Mall, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 78379 00094,https://www.instagram.com/invites/contact/?i=6fmvbrk8hjnb&utm_content=pafp9c9,4.8,570,False,"['Gym', 'Fitness center', 'Health spa', 'Weight loss service', 'Wellness center', ""Women's personal trainer""]",ChIJ4yYTez7vDzkRMh1rCqADBjg,30.6762206,76.7243591,83,primary_cat
"Pro Ultimate Gyms - Sector 70, Mohali",Gym,Sahibzada Ajit Singh Nagar,160071,Punjab,"SCO 28-29, Floor, 2-3, near Hotel Miraj, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 82888 06770,https://proultimategyms.in/best-gym-in-mohali-sector-70/,4.9,711,False,['Gym'],ChIJsRP4bxbvDzkRj9T_CaB0y4g,30.6953618,76.7157888,93,primary_cat
Oxizone Fitness & Spa - Gym In Mohali,Gym,Sahibzada Ajit Singh Nagar,160071,Punjab,"Site No. 1, Mattaur Rd, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 172 353 4942,https://www.oxizonefitness.com/,4.5,564,False,"['Gym', 'Fitness center', 'Gymnasium school', 'Personal trainer', 'Spa', ""Women's personal trainer""]",ChIJN6IP-ZPuDzkR5O1zL_NlVZE,30.6965193,76.7159785,353,primary_cat
kr fitness studio,Personal trainer,Chandigarh,160047,Chandigarh,"Housing board, 2969/49D, near PINK ROSE SOCIETY, Sector 49, Chandigarh, 160047, India",,http://www.krfitnessstudio.in/,5,36,False,"['Personal trainer', 'Fitness center']",ChIJj4w99_rtDzkRVpLok4hv8VI,30.6956056,76.7489823,86,primary_cat
Tapa swadhyay yoga studio,Yoga studio,Sahibzada Ajit Singh Nagar,160071,Punjab,"2nd Floor, Scf 24, Phase 11, Tarf Kumbra, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 99158 76675,,5,25,False,['Yoga studio'],ChIJj6NBUvLtDzkRbzKG7Rx0Oqw,30.682256,76.7436722,11,primary_cat
