page_name,page_id,start_date,ad_url,classification
Sense Records,,,,unknown
Bolt officiall,,,,unknown
S.maryeiamm,,,,unknown
Yummy Valley Online,,,,unknown
HannahFitness,,,,possible_local_trainer
Wellcore - Wellversed Brand,,,,inconclusive_d2c
Winsome Resorts,,,,noise
Kaiser Permanente,,,,unknown
Littlebox.India,,,,unknown
Alpha Ayurveda Kerala,,,,unknown
Ancon Nutrition,,,,unknown
Game Theory,,,,unknown
nitesharma07,,,,unknown
NEWME,,,,unknown
cutie deals,,,,unknown
Fab Floorings,,,,unknown
TATA 1mg Wellness,,,,unknown
Twogether.in,,,,unknown
shivmgarg_,,,,unknown
Kannada Health And Fitness,,,,possible_local_trainer
BlackBeast,,,,unknown
Shopsy,,,,unknown
Osmo - Wellversed Brand,,,,inconclusive_d2c
ar_manlifts,,,,unknown
VOYLA ,,,,unknown
shubxhab,,,,unknown
Troovy Foods,,,,unknown
crazysaaquib,,,,unknown
Okwera Otim,,,,unknown
Dappers and Divas,,,,unknown
Minoik Apparel’s ,,,,unknown
Ekansh Taneja,,,,unknown
Princesa Garden Island Resort & Spa,,,,unknown
Ashapurna Buildcon Ltd.,,,,unknown
Balaji Builders and Developers,,,,unknown
Stoga.fit ,,,,unknown
ShopInfinix.in,,,,unknown
Prestige Group,,,,unknown
Dopafitt,,,,unknown
hemant_show,,,,unknown
Fitness Bootcamp,,,,possible_local_trainer
Hpn online shop,,,,unknown
E Home Store,,,,unknown
Chiggy Chiggy,,,,unknown
Gold's Gym India,,,,real_gym
Firm Fitness,,,,possible_local_trainer
WelcareFitnessinsta,,,,unknown
Fitpros12,,,,possible_local_trainer
Ganpati Infrastructure,,,,unknown
Sitara Palace And Resort,,,,unknown
weightlifting.for.all,,,,unknown
GymDeals,,,,real_gym
Indian Short Drama 3,,,,noise
Into Wellness,,,,unknown
Liftoff app,,,,possible_local_trainer
Mishra Fashion,,,,unknown
Muscle Monster App,,,,possible_local_trainer
Anytime Fitness Kemps Corner Mumbai,,,,possible_local_trainer
akshay_meghani_fitness,,,,possible_local_trainer
ASG Narang Eye Institute,,,,unknown
Your Health with Natxtra,,,,unknown
Sports & Fitness,,,,real_gym
Shopping Hub,,,,unknown
Best Trending Shows ,,,,unknown
TheManCompany,,,,unknown
Tynor,,,,unknown
DR.  Sharda Ayurveda,,,,unknown
tannu_0.6_,,,,unknown
Gaurav yadav,,,,unknown
CMA Equipments,,,,unknown
ᴀᴋᴡᴀɴɪ,,,,unknown
Lakshmi Krishna Naturals Off,,,,noise
Secret Mumbai,,,,unknown
The Fit Triad,,,,possible_local_trainer
Kapiva,,,,inconclusive_d2c
Prince Narula,,,,unknown
Embarouge,,,,unknown
Aromanik,,,,unknown
Daily Comfort,,,,unknown
Gonoise,,,,unknown
Bishal Dutta,,,,unknown
Podz: Family & Group Organizer,,,,unknown
Melvin_vlogs ,,,,unknown
Short Drama Series,,,,noise
Pion Studio Games,,,,unknown
VedistryIndia,,,,unknown
Ayurvedawithankit,,,,unknown
Vastram Fusion,,,,unknown
ICan Edu-Stay,,,,unknown
Gravity Transformation,,,,unknown
Indian Short Drama 11,,,,noise
Hit Microdrama,,,,noise
jaatsabh_0,,,,unknown
Fz fitness factory,,,,possible_local_trainer
SoulZ Music Group,,,,unknown
Trimurty Builders,,,,unknown
Nutrabox,,,,unknown
Superhit shows,,,,unknown
FITPASS,,,,possible_local_trainer
Niayra villa ,,,,unknown
Sonata Watches,,,,unknown
Amazon Home India,,,,noise
Heth gets HYPD,,,,unknown
Functional55 Malakpet,,,,unknown
Nykaa Fashion,,,,noise
Hamilton Beach India,,,,unknown
iadityapoddar,,,,unknown
VeCura Wellness Clinic - Telangana,,,,unknown
Wockhardt Hospitals - Mumbai Central,,,,unknown
Adityaa lifts,,,,unknown
Timeline Fitness 24/7,,,,possible_local_trainer
Yukio,,,,unknown
Darpan Thakur,,,,unknown
Ranafitness.11,,,,unknown
Sukhwani Skylines,,,,unknown
KSF Transformation Studio,,,,unknown
Vedaanta Senior Living Homes,,,,unknown
Destiny S. Harris,,,,unknown
Puranik Builders Ltd.,,,,unknown
Park One Badlapur,,,,unknown
Frido,,,,unknown
Akshay_tamra_fitness,,,,possible_local_trainer
Hilton Fitness Systems,,,,noise
Naaptol-4,,,,unknown
The Whole Truth Foods,,,,unknown
Shenaz Treasury,,,,unknown
Ibis Fitness,,,,possible_local_trainer
RARA Barefoot,,,,unknown
Shivveda Ayurveda,,,,unknown
Jishnu kv,,,,unknown
Liftoff Legends,,,,possible_local_trainer
Drip Clothing.,,,,unknown
SumanTv Health Time,,,,unknown
fitwithsaiteja,,,,possible_local_trainer
A.C. Jain Builders & Developers Llp,,,,unknown
Sehat Vati,,,,unknown
The Derma Co.,,,,unknown
kararararan_,,,,unknown
Sightometer,,,,unknown
Black Vigor Spectrum,,,,unknown
abhyankkar,,,,unknown
Spotify,,,,noise
Menworks ,,,,unknown
Bumble India,,,,unknown
Veronica,,,,unknown
SD Fitness Equipment,,,,possible_local_trainer
OS Clothing,,,,unknown
Boxers India,,,,unknown
Ace Blend,,,,unknown
Charotar No Avaj,,,,unknown
Aatmee  Fieldcon Pvt.  Ltd.,,,,unknown
Doctor's Choice,,,,unknown
acoustic__biceps,,,,unknown
Kvetoo,,,,unknown
Health & Wellness U3,,,,unknown
Trumart,,,,unknown
Anytime Fitness India,,,,inconclusive_d2c
Holiday Inn Singapore Little India,,,,unknown
Rasayanam,,,,unknown
Faiz Ahmad khan,,,,unknown
FITNESS EXPERIENCE,,,,possible_local_trainer
Ruchi Realty - Ruchi Lifescapes Indore,,,,unknown
abhishek_yess,,,,unknown
Lino Perros,,,,unknown
vikasfitness,,,,possible_local_trainer
